Title,Ranking,Genre,Actors,Runtime
Breaking Bad,9.5,"['Crime', 'Drama', 'Thriller']","['Bryan Cranston', 'Aaron Paul', 'Anna Gunn']",47 mins.
Game of Thrones,9.5,"['Adventure', 'Drama', 'Fantasy']","['Emilia Clarke', 'Peter Dinklage', 'Kit Harington']",56 mins.
The Wire,9.3,"['Crime', 'Drama', 'Thriller']","['Dominic West', 'Lance Reddick', 'Sonja Sohn']",59 mins.
Rick and Morty,9.3,"['Animation', 'Adventure', 'Comedy', 'Sci-Fi']","['Justin Roiland', 'Chris Parnell', 'Spencer Grammer']",22 mins.
Sherlock,9.3,"['Crime', 'Drama', 'Mystery']","['Benedict Cumberbatch', 'Martin Freeman', 'Una Stubbs']",88 mins.
The Sopranos,9.2,"['Crime', 'Drama']","['James Gandolfini', 'Lorraine Bracco', 'Edie Falco']",55 mins.
Last Week Tonight with John Oliver,9.2,"['Comedy', 'News', 'Talk-Show']","['John Oliver', 'David Kaye', 'Noel MacNeal']",30 mins.
True Detective,9.2,"['Crime', 'Drama', 'Mystery', 'Thriller']","['Vince Vaughn', 'Colin Farrell', 'Rachel McAdams']",55 mins.
Avatar: The Last Airbender,9.2,"['Animation', 'Action', 'Adventure', 'Family', 'Fantasy', 'Mystery']","['Zach Tyler', 'Dee Bradley Baker', 'Mae Whitman']",23 mins.
Leyla ile Mecnun,9.2,"['Adventure', 'Comedy', 'Drama', 'Fantasy', 'Mystery', 'Romance']","['Ali Atay', 'Cengiz Bozkurt', 'Serkan Keskin']",80 mins.
Firefly,9.1,"['Adventure', 'Drama', 'Sci-Fi']","['Nathan Fillion', 'Gina Torres', 'Alan Tudyk']",44 mins.
Hagane no renkinjutsushi,9.1,"['Animation', 'Action', 'Adventure', 'Comedy', 'Drama', 'Sci-Fi']","['Kent Williams', 'Iemasa Kayumi', 'Vic Mignogna']",24 mins.
Narcos,9.1,"['Biography', 'Crime', 'Drama']","['Wagner Moura', 'Boyd Holbrook', 'Pedro Pascal']",49 mins.
Arrested Development,9.0,['Comedy'],"['Jason Bateman', 'Michael Cera', 'Portia de Rossi']",22 mins.
House of Cards,9.0,['Drama'],"['Kevin Spacey', 'Michel Gill', 'Robin Wright']",55 mins.
Batman: The Animated Series,9.0,"['Animation', 'Action', 'Adventure', 'Crime', 'Drama', 'Fantasy', 'Mystery', 'Romance', 'Sci-Fi', 'Thriller']","['Kevin Conroy', 'Loren Lester', 'Efrem Zimbalist Jr.']",23 mins.
Kaub&#xF4;i bibappu: Cowboy Bebop,9.0,"['Animation', 'Action', 'Adventure', 'Drama', 'Sci-Fi', 'Thriller']","['Kunihiro Mori', 'Ikur Sat', 'Kichi Yamadera', 'Unsh Ishizuka', 'Megumi Hayashibara']",24 mins.
Fargo,9.0,"['Crime', 'Drama', 'Thriller']","['Billy Bob Thornton', 'Martin Freeman', 'Allison Tolman']",53 mins.
The Twilight Zone,9.0,"['Fantasy', 'Horror', 'Mystery', 'Sci-Fi', 'Thriller']","['Rod Serling', 'Robert McCord', 'Jay Overholts']",51 mins.
Permanent Roommates,9.0,"['Comedy', 'Romance']","['Sameer Saxena', 'Nidhi Singh', 'Sumeet Vyas', 'Deepak Kumar Mishra']",21 mins.
Death Note: Desu n&#xF4;to,9.0,"['Animation', 'Crime', 'Drama', 'Fantasy', 'Horror', 'Mystery', 'Thriller']","['Mamoru Miyano', 'Brad Swaile', 'Vincent Tong']",24 mins.
Hunter x Hunter,9.0,"['Animation', 'Action', 'Adventure', 'Comedy', 'Fantasy']","['Mariya Ise', 'Megumi Han', 'Daisuke Namikawa']",24 mins.
Friends,9.0,"['Comedy', 'Romance']","['Jennifer Aniston', 'Courteney Cox', 'Lisa Kudrow']",22 mins.
Kardes Payi,9.0,"['Comedy', 'Drama', 'Family']","['Ahmet Kural', 'Murat Cemcir', 'Seda Bakan']",70 mins.
Mr. Robot,9.0,"['Crime', 'Drama']","['Rami Malek', 'Christian Slater', 'Portia Doubleday']",44 mins.
Monty Python&#x27;s Flying Circus,8.9,"['Comedy', 'Music']","['Graham Chapman', 'John Cleese', 'Terry Gilliam']",30 mins.
Twin Peaks,8.9,"['Drama', 'Mystery', 'Thriller']","['Kyle MacLachlan', 'Michael Ontkean', 'Mdchen Amick']",47 mins.
Freaks and Geeks,8.9,"['Comedy', 'Drama']","['Linda Cardellini', 'John Francis Daley', 'James Franco']",44 mins.
Seinfeld,8.9,['Comedy'],"['Jerry Seinfeld', 'Julia Louis-Dreyfus', 'Michael Richards']",22 mins.
Wan p&#xEE;su: One Piece,8.9,"['Animation', 'Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Romance']","['Tony Beck', 'Laurent Vernin', 'Mayumi Tanaka']",24 mins.
Only Fools and Horses....,8.9,['Comedy'],"['David Jason', 'Nicholas Lyndhurst', 'Roger Lloyd Pack']",95 mins.
Pod prikritie,8.9,"['Action', 'Crime', 'Drama']","['Vladimir Penev', 'Zachary Baharov', 'Mihail Bilalov']",60 mins.
Top Gear,8.9,"['Comedy', 'Talk-Show']","['Richard Hammond', 'Jeremy Clarkson', 'James May']",60 mins.
Dragon Ball Z,8.9,"['Animation', 'Action', 'Adventure', 'Fantasy', 'Sci-Fi', 'Thriller']","['Masako Nozawa', 'Sean Schemmel', 'Christopher Sabat']",24 mins.
K&#xF4;do giasu: Hangyaku no rur&#xFB;shu R2,8.9,"['Animation', 'Action', 'Drama', 'Mystery', 'Sci-Fi', 'Thriller']","['Adam Bobrow', 'Johnny Yong Bosch', 'Yuri Lowenthal']",24 mins.
Oz,8.9,"['Crime', 'Drama', 'Thriller']","['Gregory Dark', 'Ernie Hudson', 'J.K. Simmons', 'Lee Tergesen']",55 mins.
Rome,8.9,"['Action', 'Drama', 'History', 'Romance', 'War']","['Kevin McKidd', 'Ray Stevenson', 'Polly Walker']",90 mins.
Better Call Saul,8.9,"['Crime', 'Drama']","['Bob Odenkirk', 'Jonathan Banks', 'Rhea Seehorn']",47 mins.
The Simpsons,8.9,"['Animation', 'Comedy']","['Dan Castellaneta', 'Nancy Cartwright', 'Julie Kavner']",22 mins.
Shingeki no kyojin,8.9,"['Animation', 'Action', 'Adventure', 'Drama', 'Fantasy', 'Horror']","['Marina Inoue', 'Yuki Kaji', 'Josh Grelle']",24 mins.
Daredevil,8.9,"['Action', 'Crime', 'Drama']","['Charlie Cox', ""Vincent D'Onofrio"", 'Deborah Ann Woll']",54 mins.
Dragon Ball Z: Doragon b&#xF4;ru zetto,8.9,"['Animation', 'Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Sci-Fi', 'Thriller']","['Minoru Okazaki', 'Jji Yanami', 'Masako Nozawa', 'Mayumi Tanaka']",24 mins.
Dexter,8.9,"['Crime', 'Drama', 'Mystery', 'Thriller']","['Michael C. Hall', 'Jennifer Carpenter', 'David Zayas']",55 mins.
House M.D.,8.9,"['Drama', 'Mystery']","['Hugh Laurie', 'Omar Epps', 'Robert Sean Leonard']",44 mins.
Blackadder Goes Forth,8.9,"['Comedy', 'War']","['Rowan Atkinson', 'Tony Robinson', 'Stephen Fry']",175 mins.
Gravity Falls,8.8,"['Animation', 'Adventure', 'Comedy', 'Family', 'Mystery']","['Jason Ritter', 'Alex Hirsch', 'Kristen Schaal']",23 mins.
Fawlty Towers,8.8,['Comedy'],"['John Cleese', 'Prunella Scales', 'Andrew Sachs']",30 mins.
Steins;Gate,8.8,"['Animation', 'Comedy', 'Drama', 'Romance', 'Sci-Fi', 'Thriller']","['Hiroshi Hamazaki', 'Takuya Sat', 'Mamoru Miyano', 'Asami Imai', 'Kana Hanazawa']",24 mins.
Doctor Who,8.8,"['Adventure', 'Drama', 'Family', 'Mystery', 'Sci-Fi']","['Peter Capaldi', 'Jenna Coleman', 'Matt Smith']",45 mins.
Archer,8.8,"['Animation', 'Action', 'Comedy']","['H. Jon Benjamin', 'Judy Greer', 'Amber Nash']",22 mins.
